strategy_name,universe,fee_pct,train_period,test_period,return,max_dd,sharpe,vol,trades,win_rate,verdict,commit_hash_placeholder,run_date
Low-volatility bottom quintile (60d),AAPL MSFT IBM INTC CSCO ORCL QCOM TXN ADI AMAT JNJ PFE MRK ABT BMY AMGN GILD MDT PG KO PEP WMT COST MCD CL MO NKE HD LOW DIS XOM CVX COP JPM BAC WFC GS AXP UNP UPS CAT DE MMM HON BA VZ,0.00020000,2010-01-04..2017-12-29,2018-01-02..2026-06-05,0.96529452,-0.23896195,0.62033870,0.14714701,95,0.55789474,NO-GO,PENDING,2026-06-06T13:03:00.345087+00:00
SPY buy-and-hold benchmark,SPY,0.00020000,2010-01-04..2017-12-29,2018-01-02..2026-06-05,2.11716585,-0.33717265,0.80096321,0.19210518,1,1.00000000,NO-GO,PENDING,2026-06-06T13:03:01.301342+00:00
